,de,en,fr,it,ja,pl,pt,ru,uk,zh
None,,,,,,,,,,
$1_color,1 colour,1 color,1 couleur,1 colore,1色,1 kolor,1 cor,1 цвет,1 колір, 种颜色
$3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D
$Achievements,Erfolge,Achievements,réalisations,Risultati,業績,Osiągnięcia,Conquistas,Достижения,Досягнення,成就
$Again,Nochmal,Again,Encore,Ancora,また,Ponownie,De novo,Заново,Знову,再次
$Animations,Animationen,Animations,Animations,Animazioni,アニメーション,animacje,Animações,Анимации,анімації,动画
$Back,Zurück,Back,Cuire,Indietro,戻る,Z powrotem,Voltar,Назад,Назад,后退
$Basic,Basic,Basic,Basique,Di base,基本,Podstawowy,básico,Базовые,Базовий,基本的
$Best_score:,Bestes Ergebnis:,Best score:,Meilleur score:,Miglior punteggio:,最高のスコア：,Najlepszy wynik:,Melhor pontuação:,Лучший счёт:,Найкращий результат:,最佳得分：
$Best,Beste,Best,Meilleur,Migliore,最高,"To, co najlepsze",Melhor,Лучший,Найкращий,最好的
$Best_Score_20000_(3D),Bestes Ergebnis 20000 (3D),Best Score 20000 (3D),Meilleure note 20000 (3D),Miglior Punteggio 20000 (3D),ベストスコア 20000 (3D),Najlepszy wynik 20000 (3D),Melhor Trilha Sonora 20000 (3D),Лучший счёт 20000 (3D),Найкращий результат 20000 (3D),最高分 20000 (3D)
$Best_Score_20000_(Classic),Bestes Ergebnis 20000 (Klassisch),Best Score 20000 (Classic),Meilleur score 20000 (Classique),Miglior Punteggio 20000 (Classico),ベストスコア 20000 (クラシック),Najlepszy wynik 20000 (klasyczny),Melhor Trilha Sonora 20000 (Clássico),Лучший счёт 20000 (Классика),Найкращий результат 20000 (класичний),最高分20000（经典）
$Best_Score_30000_(3D),Beste Punktzahl 30000 (3D),Best Score 30000 (3D),Meilleur score 30000 (3D),Miglior Punteggio 30000 (3D),ベストスコア 30000 (3D),Najlepszy wynik 30000 (3D),Melhor Pontuação 30000 (3D),Лучший счёт 30000 (3D),Найкращий результат 30000 (3D),最高分30000（3D）
$Best_Score_30000_(Classic),Beste Punktzahl 30000 (Klassisch),Best Score 30000 (Classic),Meilleur score 30000 (Classique),Miglior Punteggio 30000 (Classico),ベストスコア 30000 (クラシック),Najlepszy wynik 30000 (klasyczny),Melhor Pontuação 30000 (Clássico),Лучший счёт 30000 (Классика),Найкращий результат 30000 (класичний),最高分30000（经典）
$Best_Score_4000_(3D),Bestes Ergebnis 4000 (3D),Best Score 4000 (3D),Meilleur score 4000 (3D),Miglior punteggio 4000 (3D),ベストスコア 4000 (3D),Najlepszy wynik 4000 (3D),Melhor Pontuação 4000 (3D),Лучший счёт 4000 (3D),Найкращий результат 4000 (3D),最高分 4000 (3D)
$Best_Score_4000_(Classic),Beste Punktzahl 4000 (Klassisch),Best Score 4000 (Classic),Meilleur score 4000 (classique),Miglior Punteggio 4000 (Classico),ベストスコア 4000 (クラシック),Najlepszy wynik 4000 (klasyczny),Melhor Pontuação 4000 (Clássico),Лучший счёт 4000 (Классика),Найкращий результат 4000 (класичний),最高分 4000（经典）
$Best_Score_40000_(3D),Bestes Ergebnis 40000 (3D),Best Score 40000 (3D),Meilleur score 40000 (3D),Miglior Punteggio 40000 (3D),ベストスコア 40000 (3D),Najlepszy wynik 40000 (3D),Melhor Pontuação 40000 (3D),Лучший счёт 40000 (3D),Найкращий результат 40000 (3D),最高分 40000 (3D)
$Best_Score_40000_(Classic),Beste Punktzahl 40000 (Klassisch),Best Score 40000 (Classic),Meilleur score 40000 (Classique),Miglior Punteggio 40000 (Classico),ベストスコア 40000 (クラシック),Najlepszy wynik 40000 (klasyczny),Melhor Pontuação 40000 (Clássico),Лучший счёт 40000 (Классика),Найкращий результат 40000 (класичний),最高分40000（经典）
$Best_Score_50000_(3D),Beste Punktzahl 50000 (3D),Best Score 50000 (3D),Meilleur score 50000 (3D),Miglior Punteggio 50000 (3D),ベストスコア 50000 (3D),Najlepszy wynik 50000 (3D),Melhor Pontuação 50000 (3D),Лучший счёт 50000 (3D),Найкращий результат 50000 (3D),最高分 50000 (3D)
$Best_Score_50000_(Classic),Beste Punktzahl 50000 (Klassisch),Best Score 50000 (Classic),Meilleur score 50000 (Classique),Miglior Punteggio 50000 (Classico),ベストスコア 50000 (クラシック),Najlepszy wynik 50000 (klasyczny),Melhor Pontuação 50000 (Clássico),Лучший счёт 50000 (Классика),Найкращий результат 50000 (класичний),最高分50000（经典）
$Break_1_layer_(3D),1 Ebene brechen (3D),Break 1 layer (3D),Casser 1 couche (3D),Rompere 1 strato (3D), 1レイヤーをブレイク(3D),Przerwij 1 warstwę (3D),Quebre 1 camada (3D),Сломать 1 слой (3D),Розбити 1 шар (3D),打破 1 层 (3D)
$Break_1000000_layers_(Classic),Brechen Sie 1.000.000 Ebenen (klassisch),Break 1000000 layers (Classic),Casser 1000000 couches (Classique),Rompi 1000000 strati (Classico), 1000000 層を突破する (クラシック),Przerwij 1000000 warstw (Klasyczny),Quebre 1000000 camadas (Clássico),Сломать 1000000 слоев (Классика),Розбити 1000000 шарів (класика),突破100万层（经典）
$Break_200_layers_(3D),Brechen Sie 200 Schichten (3D),Break 200 layers (3D),Casser 200 couches (3D),Rompi 200 strati (3D), 200 レイヤーを破壊 (3D),Rozbij 200 warstw (3D),Quebre 200 camadas (3D),Сломать 200 слоев (3D),Розбийте 200 шарів (3D),打破 200 层 (3D)
$Break_2000_layers_(Classic),Brechen Sie 2000 Ebenen (klassisch),Break 2000 layers (Classic),Casser 2000 couches (classique),Rompi 2000 strati (Classico), 2000 層を突破する (クラシック),Przerwij 2000 warstw (Klasyczny),Quebre 2.000 camadas (Clássico),Сломать 2000 слоев (Классика),Розірвати 2000 шарів (класика),突破2000层（经典）
$Break_30_layers_(3D),Brechen Sie 30 Schichten (3D),Break 30 layers (3D),Casser 30 couches (3D),Rompi 30 strati (3D), 30 レイヤーを分割 (3D),Rozbij 30 warstw (3D),Quebre 30 camadas (3D),Сломать 30 слоев (3D),Розбийте 30 шарів (3D),打破 30 层 (3D)
$Break_400_layers_(Classic),Brechen Sie 400 Schichten (klassisch),Break 400 layers (Classic),Casser 400 couches (classique),Rompi 400 strati (classico), 400 層を突破する (クラシック),Przerwij 400 warstw (Klasyczny),Quebre 400 camadas (Clássico),Сломать 400 слоев (Классика),Розбийте 400 шарів (класика),突破400层（经典）
$Break_layers,Schichten aufbrechen,Break layers,Brise-couches,Rompere i livelli,レイヤーを分割する,Przełam warstwy,Quebrar camadas,Сломать слоёв,Розбити шари,打破层
$Broken_layers:,Gebrochene Schichten:,Broken layers:,couches brisées:,Strati spezzati:,壊れたレイヤー:,Uszkodzone warstwy:,Camadas quebradas:,Сломанные слои:,Розбиті шари:,破碎层：
$Classic,Klassisch,Classic,Classique,Classico,クラシック,Klasyczny,Clássico,Классика,класичний,经典的
$Close,Schließen,Close,Fermer,Vicino,近い,Zamknąć,Fechar,Закрыть,Закрити,关闭
$Complete_all_levels,Schließe alle Level ab,Complete all levels,Terminez tous les niveaux,Completa tutti i livelli,すべてのレベルをクリアする,Ukończ wszystkie poziomy,Complete todos os níveis,Пройти все уровни,Пройти всі рівні,完成所有关卡
$Complete_all_levels_(3D),Schließe alle Level ab (3D),Complete all levels (3D),Terminez tous les niveaux (3D),Completa tutti i livelli (3D),すべてのレベルをクリアする (3D),Ukończ wszystkie poziomy (3D),Complete todos os níveis (3D),Пройти все уровни (3D),Пройти всі рівні (3D),完成所有关卡（3D）
$Complete_all_levels_(Classic),Schließe alle Level ab (Klassisch),Complete цall levels (Classic),Terminer tous les niveaux (classique),Completa цtutti i livelli (Classico),全レベルをクリア（クラシック）,Ukończ wszystkie poziomy (klasyczny),Complete цtodos os níveis (Clássico),Пройти все уровни (Классика),Повні рівні виклику (класика),完成所有级别（经典）
$Continue,Weitermachen,Continue,Continuer,Continua,続く,Kontynuować,Continuar,Продолжить,Продовжити,继续
$Control,Kontrolle,Control,Contrôle,Controllo,コントロール,Kontrola,Ao controle,Управление,КОНТРОЛЬ,控制
$Descent,Abstieg,Descent,Descente,Discesa,降下,Zejście,Descida,Быстрый спуск,Спуск,血统
$Display_FPS,FPS anzeigen,Display FPS,Afficher FPS,Mostra FPS,ディスプレイ FPS,Wyświetl liczbę klatek na sekundę,Exibir FPS,Показывать FPS,Показати FPS,显示帧率
$Fast_move_down,Schnell nach unten bewegen,Fast move down,Déplacement rapide vers le bas,Scendi velocemente,高速で下に移動,Szybki ruch w dół,Movimento rápido para baixo,Быстро двигаться вниз,Швидкий рух вниз,快速向下移动
$Fullscreen,Ganzer Bildschirm,Fullscreen,Plein écran,A schermo intero,全画面表示,Pełny ekran,Tela cheia,Полноэкранный режим,Повноекранний,全屏
$Game,Spiel,Game,Jeu,Gioco,ゲーム,Gra,Jogo,Игра,Гра,游戏
$Game_over!,Spiel ist aus!,Game over!,Jeu terminé!,Game Over!,ゲームオーバー！,Koniec gry!,Game Over!,Игра окончена!,Гра завершена!,游戏结束！
$Games_lost:,Verlorene Spiele:,Games lost:,Jeux perdus:,Partite perse:,負けたゲーム:,Mecze przegrane:,Jogos perdidos:,Игр проиграно:,Програні ігри:,输掉的比赛：
$Games_played:,Spiele gespielt:,Games played:,Parties jouées:,Giochi giocati:,プレイしたゲーム:,Rozegrane gry:,Jogos jogados:,Игр сыгранно:,Зіграно ігор:,玩过的游戏：
$Games_won:,Gewonnene Spiele:,Games won:,Jeux gagnés:,Giochi vinti:,ゲームは勝ちました：,Gry wygrane:,Jogos ganhos:,Игр выиграно:,Виграні ігри:,赢得的比赛：
$Go_to_Discord_:),Gehe zu Discord :),Go to Discord :),Allez sur Discord :),Vai su Discordia :), Discordに行きましょう:),Wejdź na Discorda :),Vá para o Discord :),Зайти в Discord :),Переходьте на Discord :),前往不和谐:)
$Goal,Ziel,Goal,But,Obiettivo,ゴール,Bramka,Meta,Цель,Мета,目标
$Graphic,Grafik,Graphic,Graphique,Grafico,グラフィック,Graficzny,Gráfico,Графика,Графічний,形象的
$Jungle,Dschungel,Jungle,Jungle,Giungla,密林,Dżungla,Selva,Джунгли,Джунглі,丛林
$Landscape,Landschaft,Landscape,Paysage,Paesaggio,風景,Krajobraz,Paisagem,Горизонтальная,Пейзаж,景观
$Language,Sprache,Language,Langue,Lingua,言語,Język,Linguagem,Язык,Мова,语言
$Layers,Lagen,Layers,Couches,Strati,レイヤー,Warstwy,Camadas,Слои,Шари,层数
$level,eben,level,niveau,livello,レベル,poziom,nível,уровень,рівень,等级
$Levels,Ebenen,Levels,Les niveaux,Livelli,レベル,Poziomy,Níveis,Уровни,Рівні,级别
$lines,Linien,lines,lignes,linee,行,linie,linhas,линий,лінії,线
$Menu,Speisekarte,Menu,Menu,Menù,メニュー,Menu,Cardápio,Меню,Меню,菜单
$Move_back,Zurückgehen,Move back,Reculer,Andare indietro,戻ってくる,Cofnąć się,Voltar,Двигаться назад,Задкувати,向后移动
$Move_camera_down,Bewege die Kamera runter,Move camera down,Déplacer la caméra vers le bas,Sposta la fotocamera verso il basso,カメラを下に移動します,Przesuń aparat w dół,Mover a câmera para baixo,Переместить камеру вниз,Перемістіть камеру вниз,向下移动相机
$Move_camera_up,Bewegen Sie die Kamera nach oben,Move camera up,Déplacer la caméra vers le haut,Sposta la fotocamera in alto,カメラを上に移動,Przesuń aparat w górę,mover a câmera para cima,Переместите камеру вверх,Перемістіть камеру вгору,向上移动相机
$Move_forward,Gehen Sie vorwärts,Move forward,Avance,Vai avanti,前進する,Pójść naprzód,Siga em frente,Двигаться вперед,Йти далі,前进
$Move_left,Geh nach links,Move left,Se déplacer à gauche,Muovere a sinistra,左に移動,Przesuń w lewo,Mova para a esquerda,Двигаться влево,Рух ліворуч,向左移动
$Move_right,Nach rechts bewegen,Move right,Déplacer vers la droite,Vai a destra,右に動く,Ruch w prawo,Mover para a direita,Двигаться вправо,Рух праворуч,向右移
$Movie,Film,Movie,Film,Film,映画,Film,Filme,Фильм,фільм,电影
$Music,Musik,Music,Musique,Musica,音楽,Muzyka,Música,Музыка,музика,音乐
$Next,Nächste,Next,Prochain,Prossimo,次,Następny,Próximo,Следующий,Далі,下一个
$Orientation,Orientierung,Orientation,Orientation,Orientamento,オリエンテーション,Orientacja,Orientação,Ориентация,Орієнтація,方向
$Particles,Partikel,Particles,Particules,Particelle,粒子,Cząsteczki,Partículas,Партиклы,частинки,粒子
$Pause,Pause,Pause,Pause,Pausa,一時停止,Pauza,Pausa,Пауза,Пауза,暂停
$Phantom_figure,Phantomfigur,Phantom figure,Figure fantôme,Figura fantasma,ファントムフィギュア,Widmowa postać,figura fantasma,Фантомная фигура,Фантомна фігура,幻影
$Play,Spielen,Play,Jouer,Giocare,遊ぶ,Grać,Jogar,Играть,грати,玩
$Play_100_times_(3D),100 Mal spielen (3D),Play 100 times (3D),Jouez 100 fois (3D),Gioca 100 volte (3D), 100回プレイ(3D),Zagraj 100 razy (3D),,Сыграть 100 раз (3D),Грати 100 разів (3D),播放 100 次（3D）
$Play_200_times_(Classic),200 Mal spielen (Klassisch),Play 200 times (Classic),Jouez 200 fois (Classique),Gioca 200 volte (classico), 200 回プレイする (クラシック),Zagraj 200 razy (klasyczny),Jogue 200 vezes (Clássico),Сыграть 200 раз (Классика),Грати 200 разів (класика),玩200次（经典）
$Play_2000_times_(3D),2000 Mal spielen (3D),Play 2000 times (3D),Jouez 2000 fois (3D),Gioca 2000 volte (3D), 2000回再生(3D),Zagraj 2000 razy (3D),Jogue 2.000 vezes (3D),Сыграть 2000 раз (3D),Грати 2000 разів (3D),播放 2000 次（3D）
$Play_3000_times_(Classic),3000 Mal spielen (Klassisch),Play 3000 times (Classic),Jouez 3000 fois (Classique),Gioca 3000 volte (Classico), 3000 回プレイする (クラシック),Zagraj 3000 razy (klasyczny),Jogue 3000 vezes (Clássico),Сыграть 3000 раз (Классика),Грайте 3000 разів (класика),播放3000次（经典）
$Portait,Porträt,Portait,Portrait,Ritratto,ポートレート,portret,portait,Вертикальная,Портрет,肖像
$Quit,Aufhören,Quit,Arrêter,Esentato,やめる,Zrezygnować,Desistir,Выход,Вийти,辞职
$Relax,Entspannen,Relax,Se détendre,Relax,リラックス,Zrelaksować się,Relaxar,Релакс,Розслабтеся,放松
$Replace,Ersetzen,Replace,Remplacer,Sostituire,交換する,Zastępować,Substituir,Заменить,Замінити,代替
$Reset_camera_position,Kameraposition zurücksetzen,Reset camera position,Réinitialiser la position de la caméra,Ripristina la posizione della telecamera,カメラ位置をリセット,Zresetuj pozycję kamery,Redefinir posição da câmera,Сбросить положение камеры,Скинути положення камери,重置相机位置
$Retro,Retro,Retro,Rétro,Retrò,レトロ,Retro,Retrô,Ретро,Ретро,复古的
$Score,Punktzahl,Score,Score,Punto,スコア,Wynik,Pontuação,Счёт,Оцінка,分数
$Sensitivity,Empfindlichkeit,Sensitivity,Sensibilité,Sensibilità,感度,Wrażliwość,Sensibilidade,Чувствительность,Чутливість,灵敏度
$Settings,Einstellungen,Settings,Paramètres,Impostazioni,設定,Ustawienia,Configurações,Настройки,Налаштування,设置
$Show_pause_button,Pause-Button anzeigen,Show pause button,Afficher le bouton de pause,Mostra il pulsante di pausa,一時停止ボタンを表示,Pokaż przycisk pauzy,Mostrar botão de pausa,Показывать кнопку паузы,Показати кнопку паузи,显示暂停按钮
$Sounds,Geräusche,Sounds,Des sons,Suoni,音,Dźwięki,Sons,Звуки,Звуки,声音
$Speed,Schnelle,Speed,Vitesse,Velocità,スピード,Prędkość,Velocidade,Скорость,швидкість,速度
$Standard,Standard,Standard,Standard,Standard,標準,Standard,Padrão,Стандарт,Стандартний,标准
$Statistics,Statistiken,Statistics,Statistiques,Statistiche,統計,Statystyka,Estatisticas,Статистика,Статистика,统计数据
$Theme,Thema,Theme,Thème,Tema,テーマ,Temat,Tema,Тема,Тема,主题
$Touch_the_floor,Berühre den Boden,Touch the floor,Toucher le sol,Tocca il pavimento,床に触れてください,Dotknij podłogi,Toque no chão,Коснитесь пола,Торкніться підлоги,触摸地板
$Turn_left,Biegen Sie links ab,Turn left,Tourner à gauche,Girare a sinistra,左折してください,Skręć w lewo,Vire à esquerda,Повернуть влево,Поверніть наліво,左转
$Turn_left_(x),Links abbiegen (x),Turn left (x),Tourner à gauche (x),Gira a sinistra (x),左折（×）,Skręć w lewo (x),Vire à esquerda (x),Повернуть влево (x),Поверніть ліворуч (x),左转（x）
$Turn_left_(y),Biegen Sie links ab (y),Turn left (y),Tourner à gauche (y),Gira a sinistra (y),左折(y),Skręć w lewo (y),Vire à esquerda (y),Повернуть влево (y),Поверніть ліворуч (y),左转（y）
$Turn_left_(z),Biegen Sie links ab (z),Turn left (z),Tourner à gauche (z),Gira a sinistra (z),左折（z）,Skręć w lewo (z),Vire à esquerda (z),Повернуть влево (z),Поверніть ліворуч (z),左转 (z)
$Turn_right,Biegen Sie rechts ab,Turn right,Tournez à droite,Girare a destra,右折,Skręć w prawo,Vire à direita,Повернуть напрво,Поверніть праворуч,右转
$Turn_right_(x),Biegen Sie rechts ab (x),Turn right (x),Tourner à droite (x),Gira a destra (x),右折（×）,Skręć w prawo (x),Vire à direita (x),Повернуть напрво (x),Поверніть праворуч (x),右转（x）
$Turn_right_(y),Biegen Sie rechts ab (y),Turn right (y),Tourner à droite (y),Gira a destra (y),右折（y）,Skręć w prawo (y),Vire à direita (y),Повернуть напрво (y),Поверніть праворуч (y),右转（y）
$Turn_right_(z),Biegen Sie rechts ab (z),Turn right (z),Tourner à droite (z),Gira a destra (z),右折（z）,Skręć w prawo (z),Vire à direita (z),Повернуть напрво (z),Поверніть праворуч (z),右转 (z)
$Volume,Volumen,Volume,Volume,Volume,音量,Tom,Volume,Звук,Обсяг,体积
$You_lose!,Du verlierst!,You lose!,Tu as perdu!,Hai perso!,負けますよ！,Przegrałeś!,Você perdeu!,Вы проиграли!,Ти програв!,你输了！
$You_win!,Du gewinnst!,You win!,Vous gagnez!,Hai vinto!,あなたが勝ちます！,Wygrałeś!,Você ganha!,Вы победили!,Ти виграв!,你赢了！
$Your_score:,Ihr Ergebnis:,Your score:,Ton score:,Il tuo punteggio:,あなたのスコア：,Twój wynik:,Sua pontuação:,Ваш счёт:,Ваш рахунок:,你的分数：
$Click_on_the_button,Klicken Sie auf die Schaltfläche,Click on the button,Cliquez sur le bouton,Fare clic sul pulsante,ボタンをクリックしてください,Kliknij przycisk,Clique no botão,Нажмите на кнопку,Натисніть на кнопку,点击按钮
